0.016	0.011	0.029	0.932	0.012
0.007	0.020	0.947	0.011	0.014
0.004	0.010	0.023	0.006	0.958
0.029	0.061	0.520	0.067	0.324
0.024	0.084	0.144	0.031	0.717
0.228	0.101	0.201	0.418	0.052
0.004	0.002	0.005	0.988	0.002
0.089	0.761	0.079	0.033	0.038
0.007	0.963	0.018	0.004	0.007
0.016	0.062	0.831	0.022	0.069
0.004	0.009	0.022	0.006	0.959
0.014	0.931	0.031	0.008	0.015
0.235	0.537	0.125	0.059	0.044
0.073	0.256	0.542	0.066	0.063
0.850	0.039	0.036	0.059	0.016
0.016	0.033	0.897	0.029	0.026
0.010	0.029	0.927	0.014	0.019
0.075	0.642	0.136	0.046	0.101
0.038	0.159	0.219	0.044	0.539
0.137	0.148	0.453	0.195	0.067
0.016	0.038	0.811	0.032	0.104
0.086	0.633	0.134	0.050	0.097
0.027	0.019	0.050	0.882	0.023
0.012	0.040	0.867	0.019	0.063
0.205	0.272	0.333	0.126	0.064
0.071	0.462	0.202	0.057	0.208
0.064	0.373	0.227	0.058	0.278
0.003	0.007	0.018	0.005	0.967
0.448	0.331	0.107	0.068	0.046
0.889	0.045	0.029	0.026	0.011
0.050	0.078	0.290	0.146	0.437
0.739	0.109	0.062	0.060	0.030
0.037	0.025	0.061	0.846	0.031
0.047	0.372	0.345	0.046	0.190
0.982	0.006	0.004	0.005	0.002
0.519	0.219	0.133	0.088	0.041
0.033	0.180	0.616	0.038	0.133
0.009	0.019	0.055	0.016	0.901
0.213	0.562	0.126	0.056	0.043
0.900	0.036	0.025	0.029	0.011
0.018	0.039	0.803	0.040	0.101
0.008	0.017	0.046	0.014	0.914
0.077	0.489	0.189	0.059	0.186
0.129	0.048	0.093	0.699	0.031
0.024	0.082	0.313	0.035	0.547
0.687	0.144	0.072	0.063	0.034
0.056	0.040	0.096	0.755	0.053
0.059	0.087	0.248	0.163	0.443
0.726	0.073	0.075	0.101	0.025
0.060	0.054	0.168	0.628	0.090
0.046	0.490	0.283	0.042	0.139
0.059	0.054	0.229	0.598	0.060
0.058	0.081	0.361	0.223	0.278
0.017	0.036	0.889	0.030	0.027
0.076	0.030	0.056	0.813	0.024
0.311	0.151	0.243	0.238	0.057
0.008	0.017	0.930	0.017	0.027
0.687	0.154	0.075	0.056	0.028
0.053	0.734	0.146	0.031	0.036
0.009	0.969	0.014	0.004	0.005
0.803	0.067	0.048	0.059	0.023
0.067	0.069	0.239	0.489	0.135
0.076	0.062	0.235	0.573	0.054
0.113	0.044	0.077	0.730	0.036
0.004	0.010	0.029	0.008	0.950
0.061	0.042	0.132	0.731	0.035
0.602	0.070	0.084	0.211	0.033
0.731	0.092	0.065	0.079	0.033
0.840	0.039	0.038	0.068	0.015
0.034	0.135	0.203	0.041	0.587
0.039	0.019	0.037	0.889	0.017
0.029	0.055	0.199	0.069	0.649
0.367	0.115	0.178	0.290	0.049
0.887	0.033	0.027	0.041	0.012
0.084	0.057	0.174	0.642	0.043
0.027	0.102	0.170	0.035	0.666
0.010	0.034	0.906	0.014	0.036
0.039	0.178	0.255	0.045	0.483
0.305	0.071	0.107	0.475	0.041
0.071	0.065	0.290	0.510	0.064
0.048	0.076	0.396	0.159	0.320
0.013	0.039	0.076	0.019	0.853
0.215	0.130	0.282	0.312	0.061
0.294	0.071	0.104	0.487	0.044
0.000	0.001	0.003	0.001	0.995
0.237	0.523	0.134	0.061	0.045
0.366	0.077	0.105	0.406	0.045
0.008	0.019	0.044	0.013	0.916
0.571	0.204	0.112	0.076	0.036
0.053	0.083	0.220	0.129	0.515
0.012	0.008	0.022	0.951	0.007
0.042	0.020	0.040	0.880	0.018
0.055	0.453	0.382	0.045	0.065
0.023	0.014	0.033	0.915	0.015
0.066	0.073	0.433	0.348	0.080
0.046	0.028	0.059	0.837	0.030
0.412	0.266	0.173	0.101	0.048
0.728	0.057	0.061	0.129	0.025
0.198	0.585	0.109	0.055	0.053
0.029	0.061	0.424	0.069	0.417
